filename,width,height,class,xmin,ymin,xmax,ymax
image1.jpg,1000,667,child,127,133,399,580
image2.jpg,719,480,child,374,111,574,480
image3.jpg,719,480,child,9,117,700,343
image4.jpg,1024,683,child,150,78,1024,557
image5.jpg,450,319,child,74,54,372,270
image7.jpg,720,480,child,194,138,345,407
image8.jpg,720,480,child,216,69,556,347
image9.jpg,612,407,child,159,56,423,372
image10.jpg,1024,576,child,511,100,769,472
image11.jpg,1024,754,child,409,156,1020,558
image12.jpg,849,565,child,89,30,660,507
image13.jpg,1024,682,child,526,48,936,638
image14.jpg,275,183,child,80,27,235,157
image15.jpg,1024,681,child,397,163,709,498
image16.jpg,1024,803,child,184,132,826,673
image18.jpg,1024,802,child,2,1,270,351
image18.jpg,1024,802,child,272,1,533,328
image18.jpg,1024,802,child,460,1,713,331
image18.jpg,1024,802,child,644,1,1003,335
image20.jpg,1024,576,child,139,34,764,495
image21.jpg,1024,754,child,1,106,878,634
image22.jpg,1024,680,child,107,40,925,641
image23.jpg,1024,752,child,323,122,869,662
image24.jpg,1024,683,child,53,219,649,623
image25.jpg,275,183,child,74,7,210,178
image27.jpg,1024,1024,child,512,400,837,789
image28.jpg,1024,681,child,264,137,629,573
image30.jpg,262,192,child,82,36,151,160
image31.jpg,271,186,child,138,31,240,177
image32.jpg,1024,653,child,104,1,871,653
image33.jpg,262,192,child,65,45,197,134
image34.jpg,1000,1000,child,38,34,668,944
image35.jpg,1024,683,child,104,349,697,617
image37.jpg,300,168,child,140,81,251,165
image39.jpg,276,183,child,45,46,194,157
image40.jpg,275,183,child,59,16,223,181
image42.jpg,1024,819,child,376,260,510,380
image42.jpg,1024,819,child,163,254,255,365
image43.jpg,1024,681,child,77,100,651,591
image44.jpg,1024,681,child,247,245,697,644
image45.jpg,1024,683,child,377,279,637,676
image46.jpg,1024,1024,child,24,186,784,909
image47.jpg,643,1024,child,41,275,643,964
image48.jpg,1024,1001,child,246,62,899,856
image49.jpg,1018,1024,child,253,42,886,934
image50.jpg,1024,653,child,588,149,796,606
image52.jpg,1024,682,child,350,185,641,681
image53.jpg,1024,682,child,327,264,660,578
image53.jpg,1024,682,child,124,116,513,525
image55.jpg,1024,683,child,256,103,699,674
image58.jpg,1024,682,child,522,268,715,568
image58.jpg,1024,682,child,221,176,466,569
image58.jpg,1024,682,child,33,124,257,603
image58.jpg,1024,682,child,684,118,997,575
image60.jpg,1024,754,child,390,197,634,567
image60.jpg,1024,754,child,609,104,930,610
image60.jpg,1024,754,child,84,136,498,648
image61.jpg,1024,576,child,496,129,864,523
image61.jpg,1024,576,child,151,147,505,522
image62.jpg,1024,575,child,141,119,561,559
image63.jpg,275,183,child,68,23,191,168
image64.jpg,1024,576,child,361,392,415,532
image64.jpg,1024,576,child,290,407,344,539
image64.jpg,1024,576,child,236,368,296,529
image64.jpg,1024,576,child,316,378,365,526
image65.jpg,1024,1024,child,385,442,696,734
image67.jpg,1024,683,child,557,72,804,576
image68.jpg,1024,768,child,161,23,856,768
image69.jpg,1024,731,child,424,158,772,649
image70.jpg,768,1024,child,235,2,457,502
image71.jpg,1024,461,child,458,102,541,213
image71.jpg,1024,461,child,300,126,414,202
image72.jpg,1024,576,child,237,7,881,548
image73.jpg,275,183,child,90,32,199,172
